time_steps,avg_cost,max_avg_cost,min_avg_cost,qval_rmse
43700000.0,40.8197,61.97,18.18,
43800000.0,39.1702,59.16,20.67,
43900000.0,38.2855,59.51,13.52,
44000000.0,42.6545,73.65,23.91,
44100000.0,42.5578,72.18,17.23,
44200000.0,40.0891,67.9,17.92,
44300000.0,39.9479,58.65,23.48,
44400000.0,39.9763,67.11,4.84,
44500000.0,42.285,59.1,27.15,
44600000.0,42.4024,100.85,15.01,
44700000.0,42.3104,71.68,23.59,
44800000.0,42.5525,60.86,19.49,
44900000.0,43.7965,66.07,20.66,
45000000.0,40.9087,70.72,12.69,
45100000.0,43.6189,69.05,20.87,
45200000.0,43.4193,67.6,16.74,
45300000.0,41.6175,68.65,18.06,
45400000.0,42.6184,68.11,7.02,
45500000.0,44.8838,80.93,24.83,
45600000.0,43.2389,78.52,17.48,
45700000.0,41.2706,66.33,14.29,
45800000.0,43.1349,80.75,20.16,
45900000.0,41.2489,71.6,19.37,
46000000.0,44.8647,70.02,22.75,
46100000.0,44.4324,97.47,23.2,
46200000.0,38.3076,66.02,18.07,
46300000.0,39.9795,63.66,16.04,
46400000.0,41.1411,64.26,18.82,
46500000.0,40.6489,63.99,15.79,
46600000.0,46.0262,69.75,20.15,
46700000.0,44.8234,72.01,20.4,
46800000.0,43.8115,77.18,15.57,
46900000.0,45.0364,71.03,25.05,
47000000.0,43.5619,65.92,23.75,
47100000.0,41.3872,66.72,15.61,
47200000.0,38.8548,66.63,20.04,
47300000.0,42.512,65.65,14.36,
47400000.0,41.3164,75.33,19.52,
47500000.0,40.2044,65.24,13.88,
47600000.0,40.0693,61.94,21.19,
47700000.0,40.7969,62.67,20.48,
47800000.0,43.0911,99.55,22.76,
47900000.0,44.092,101.33,22.6,
48000000.0,42.4238,97.4,20.93,
48100000.0,41.5509,76.06,9.18,
48200000.0,40.9447,59.56,11.75,
48300000.0,39.5133,56.98,24.26,
48400000.0,38.8112,71.32,18.28,
48500000.0,40.376999999999995,63.74,18.05,
48600000.0,41.9526,69.29,18.42,
48700000.0,42.0631,64.04,22.63,
48800000.0,41.0101,71.19,16.54,
48900000.0,38.832,73.72,2.68,
49000000.0,40.2877,66.32,5.98,
49100000.0,42.1137,76.27,6.0,
49200000.0,41.7437,92.18,15.26,
49300000.0,39.1737,69.83,9.27,
49400000.0,37.4747,75.08,8.52,
49500000.0,39.1037,61.64,15.22,
49600000.0,37.5674,63.28,11.13,
49700000.0,39.3242,60.64,16.68,
49800000.0,40.5202,66.6,15.97,
49900000.0,40.9523,74.02,13.18,
50000000.0,41.2696,73.27,21.42,
50100000.0,42.0527,66.83,10.96,
50200000.0,41.0809,62.19,24.08,
50300000.0,41.6342,86.59,21.85,
50400000.0,41.7851,74.11,21.95,
50500000.0,39.571999999999996,74.93,17.46,
50600000.0,43.153999999999996,82.24,17.72,
50700000.0,44.1574,79.31,21.93,
50800000.0,41.6995,103.1,8.85,
50900000.0,42.5699,97.12,13.82,
51000000.0,43.0237,70.12,24.05,
51100000.0,39.9892,80.87,23.25,
51200000.0,44.6845,97.18,6.73,
51300000.0,42.0014,83.09,17.96,
51400000.0,41.5733,68.11,17.4,
51500000.0,42.11,87.6,14.76,
51600000.0,46.1921,101.16,12.55,
51700000.0,40.0327,82.63,12.15,
51800000.0,45.3803,98.48,20.56,
51900000.0,39.4187,101.82,19.73,
52000000.0,37.9246,74.7,23.39,
52100000.0,37.8029,64.63,20.1,
52200000.0,39.7934,85.41,19.69,
52300000.0,37.135,59.8,12.99,
52400000.0,40.6247,68.32,8.68,
52500000.0,40.1679,64.52,11.85,
52600000.0,38.205999999999996,68.7,12.7,
52700000.0,35.8391,63.21,10.91,
52800000.0,37.8599,57.99,12.46,
52900000.0,40.2978,71.31,11.46,
53000000.0,38.5258,68.23,19.59,
53100000.0,41.5077,69.34,11.72,
53200000.0,37.7519,62.2,9.99,
53300000.0,41.0808,61.64,12.32,
53400000.0,40.4826,65.06,21.18,
53500000.0,39.3179,63.03,14.25,
53600000.0,39.9792,67.19,16.13,
53700000.0,38.3237,70.97,5.77,
53800000.0,36.7946,67.34,18.52,
53900000.0,40.4603,71.41,10.83,
54000000.0,40.1478,65.85,16.67,
54100000.0,39.083,66.33,12.23,
54200000.0,38.1883,58.61,19.82,
54300000.0,39.4285,78.13,14.31,
54400000.0,39.5028,69.65,7.7,
54500000.0,39.6649,62.36,15.65,
54600000.0,40.7446,66.67,18.16,
54700000.0,39.4103,59.62,12.95,
54800000.0,37.7581,70.83,1.21,
54900000.0,41.0476,68.2,15.77,
55000000.0,41.6902,66.29,9.72,
55100000.0,39.937,67.76,14.81,
55200000.0,38.8989,64.51,17.24,
55300000.0,41.7952,64.62,9.67,
55400000.0,39.4871,65.14,18.31,
55500000.0,39.9426,62.83,15.46,
55600000.0,40.4975,62.12,15.24,
55700000.0,42.036,79.07,20.2,
55800000.0,38.3497,66.95,7.85,
55900000.0,43.0767,97.86,20.27,
56000000.0,37.7996,59.44,20.28,
56100000.0,44.4601,104.28,15.74,
56200000.0,41.5709,68.45,14.93,
56300000.0,41.7322,63.35,17.06,
56400000.0,39.9419,66.08,8.26,
56500000.0,40.9632,86.47,8.67,
56600000.0,40.8618,68.07,8.2,
56700000.0,39.1882,64.28,2.31,
56800000.0,38.4921,62.15,19.27,
56900000.0,39.4145,62.46,13.06,
57000000.0,40.57,61.21,20.05,
57100000.0,37.4901,63.63,18.63,
57200000.0,39.5804,62.88,14.63,
57300000.0,38.4451,63.63,19.31,
57400000.0,38.6602,66.52,15.66,
57500000.0,39.7573,62.31,19.81,
57600000.0,36.7558,63.97,7.04,
57700000.0,38.5015,97.09,9.67,
57800000.0,36.9345,63.54,1.46,
57900000.0,38.8881,68.04,12.23,
58000000.0,40.1105,62.44,6.44,
58100000.0,37.2754,90.27,20.18,
58200000.0,37.4774,75.13,18.17,
58300000.0,37.6899,83.27,13.17,
58400000.0,37.0478,68.88,19.37,
58500000.0,37.413000000000004,65.45,10.31,
58600000.0,37.9789,99.16,17.77,
58700000.0,37.3519,63.37,18.24,
58800000.0,37.6371,83.07,13.98,
58900000.0,38.3397,60.54,18.37,
59000000.0,43.3581,91.5,15.33,
59100000.0,40.891,103.7,2.27,
59200000.0,39.3093,98.03,20.08,
59300000.0,39.8872,63.73,2.17,
59400000.0,40.3973,69.08,12.7,
59500000.0,39.5382,64.44,18.45,
59600000.0,40.4334,62.86,23.85,
59700000.0,38.1886,60.33,21.65,
59800000.0,39.9468,63.11,19.88,
59900000.0,42.0036,65.86,21.74,
60000000.0,41.3447,63.7,20.41,
60100000.0,40.7664,65.85,22.39,
60200000.0,39.465,62.02,19.94,
60300000.0,41.6977,70.81,14.39,
60400000.0,40.6633,67.59,10.77,
60500000.0,40.7986,71.16,16.53,
60600000.0,39.2403,63.03,13.93,
60700000.0,39.469,59.61,10.33,
60800000.0,39.4182,74.7,4.86,
60900000.0,35.5995,72.25,2.45,
61000000.0,35.6429,64.73,5.35,
61100000.0,37.7227,68.91,17.8,
61200000.0,34.7542,58.6,2.47,
61300000.0,37.3521,69.62,14.17,
61400000.0,41.4928,66.63,17.79,
61500000.0,39.4253,62.88,15.06,
61600000.0,39.2352,61.73,2.57,
61700000.0,38.8438,60.85,15.04,
61800000.0,37.5569,58.02,14.27,
61900000.0,37.5585,62.06,6.18,
62000000.0,39.3439,66.35,8.7,
62100000.0,39.0129,61.48,17.38,
62200000.0,41.8586,65.84,16.37,
62300000.0,38.2166,61.38,5.1,
62400000.0,38.8363,63.88,13.51,
62500000.0,37.3798,72.7,14.81,
62600000.0,39.9185,70.09,20.54,
62700000.0,40.6177,71.66,16.52,
62800000.0,41.0571,69.31,14.49,
62900000.0,40.4315,65.35,7.43,
63000000.0,38.7879,57.49,12.7,
63100000.0,38.8414,75.95,7.9,
63200000.0,37.7938,66.91,16.48,
63300000.0,38.27,61.76,17.82,
63400000.0,38.7925,83.96,9.45,
63500000.0,41.07100000000001,69.92,18.72,
63600000.0,40.077,72.33,19.4,
63700000.0,44.1749,70.8,16.89,
63800000.0,39.8072,63.57,20.77,
63900000.0,38.0474,61.19,13.76,
64000000.0,40.3471,61.63,17.85,
64100000.0,37.9213,60.39,15.11,
64200000.0,37.6957,73.34,18.56,
